trade_id,ticker,isin,cusip,currency,shares,basis
EQTRS_0001,SMTC,US8168501018,816850101,USD,148200,126.22
EQTRS_0001,PG,US7427181091,742718109,USD,123000,149.13
EQTRS_0001,PGR,US7433151039,743315103,USD,61000,212.23
EQTRS_0002,UNH,US91324P1021,91324P102,USD,80000,413
EQTRS_0002,AMZN,US0231351067,23135106,USD,145000,244.19
EQTRS_0002,AAPL,US0378331005,37833100,USD,100000,290.55
EQTRS_0003,AMZN,US0231351067,23135106,USD,79200,254.96
EQTRS_0003,NXPI,NL0009538784,,USD,212269,279.01
EQTRS_0003,WBS,US9478901096,947890109,USD,7000,76.58
EQTRS_0004,CEG,US21037T1097,21037T109,USD,8000,262.75
EQTRS_0004,PM,US7181721090,718172109,USD,15792,190.82
EQTRS_0004,BAC,US0605051046,60505104,USD,59000,61.95
EQTRS_0004,JPM,US46625H1005,46625H100,USD,25000,351.79
EQTRS_0004,XOM,US30233Q1085,30233Q108,USD,19000,155.44
EQTRS_0004,MPC,US56585A1025,56585A102,USD,13000,316.47
EQTRS_0004,GE,US3696043013,369604301,USD,8500,360.07
EQTRS_0004,HD,US4370761029,437076102,USD,9000,331.96
EQTRS_0004,QCOM,US7475251036,747525103,USD,15500,147.61
EQTRS_0004,VST,US92840M1027,92840M102,USD,15000,148.19
EQTRS_0004,META,US30303M1027,30303M102,USD,5000,556.71
EQTRS_0004,TSLA,US88160R1014,88160R101,USD,7000,311.21
EQTRS_0004,GOOGL,US02079K3059,02079K305,USD,10000,356.13
EQTRS_0004,KO,US1912161007,191216100,USD,36000,87.59
EQTRS_0004,AAPL,US0378331005,37833100,USD,12000,308.91
EQTRS_0004,LMT,US5398301094,539830109,USD,3800,582.74
EQTRS_0007,BRK.B,US0846707026,84670702,USD,29435,497.18
EQTRS_0007,KLAC,US4824801009,482480100,USD,72372,203.36
EQTRS_0007,UBER,US90353T1007,90353T100,USD,213971,68.18
EQTRS_0007,NCLH,BMG667211046,,USD,379258,20.03
EQTRS_0007,AAPL,US0378331005,37833100,USD,43231,336.91
EQTRS_0007,TSLA,US88160R1014,88160R101,USD,47171,309.22
EQTRS_0007,NFLX,US64110L1061,64110L106,USD,204469,70.4
EQTRS_0008,IBN,US45104G1040,45104G104,USD,825100,29.76
EQTRS_0008,HDB,US40415F1012,40415F101,USD,206800,24.03
EQTRS_0008,EDU,US6475812060,647581206,USD,8100,58.58
EQTRS_0005,6902.T,JP3551500006,,JPY,150000,12
EQTRS_0005,7751.T,JP3242800005,,JPY,200000,30
EQTRS_0005,4901.T,JP3814000000,,JPY,220000,20
EQTRS_0006,5108.T,JP3830800003,,JPY,50000,26.41
EQTRS_0006,4503.T,JP3942400007,,JPY,100000,14.52
EQTRS_0006,8035.T,JP3571400005,,JPY,80000,352.44
